,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price_local,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,distance_to_center_km,city,property_type_grouped,property_privacy_level,property_category
17846,within a few hours,100%,33%,f,1.0,1.0,t,Amager Øst,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,759.0,3,365.0,3.0,4.0,365.0,365.0,3.0,365.0,t,2.0,3.0,3.0,57.0,1.0,1.0,1.0,3,0.0,6.0,4554.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,4.16,Copenhagen,Entire Standard,Entire,Standard
17848,within a day,60%,39%,f,1.0,1.0,t,Frederiksberg,Entire Standard,Entire home/apt,6.0,1.0,1 bath,3.0,4.0,1900.0,5,365.0,5.0,5.0,365.0,365.0,5.0,365.0,t,17.0,29.0,51.0,326.0,2.0,2.0,1.0,145,1.0,20.0,38000.0,4.5,5.0,4.0,5.0,5.0,5.0,4.0,f,1.0,1.0,0.0,0.0,0.94,Copenhagen,Entire Standard,Entire,Standard
17850,a few days or more,0%,13%,f,1.0,1.0,t,Østerbro,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,900.0,5,60.0,5.0,5.0,60.0,60.0,5.0,60.0,t,6.0,8.0,19.0,187.0,7.0,7.0,0.0,100,7.0,70.0,63000.0,4.71,4.71,4.86,4.86,4.57,5.0,4.71,f,1.0,1.0,0.0,0.0,2.08,Copenhagen,Entire Standard,Entire,Standard
17852,within a day,100%,67%,f,1.0,1.0,t,Vanløse,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,1200.0,3,30.0,3.0,3.0,30.0,30.0,3.0,30.0,t,0.0,3.0,3.0,246.0,2.0,2.0,0.0,64,2.0,12.0,14400.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,3.81,Copenhagen,Entire Standard,Entire,Standard
17855,a few days or more,10%,13%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,1260.0,4,7.0,4.0,4.0,7.0,7.0,4.0,7.0,t,21.0,33.0,61.0,61.0,3.0,3.0,0.0,61,3.0,24.0,30240.0,4.67,4.33,4.67,4.0,5.0,4.33,4.67,f,1.0,1.0,0.0,0.0,1.69,Copenhagen,Entire Standard,Entire,Standard
17859,within a day,100%,42%,f,1.0,2.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,5.0,1.0,1 bath,2.0,2.0,1260.0,5,365.0,5.0,5.0,365.0,365.0,5.0,365.0,t,1.0,3.0,3.0,92.0,4.0,4.0,0.0,9,2.0,40.0,50400.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,1.98,Copenhagen,Entire Standard,Entire,Standard
17862,a few days or more,40%,22%,f,1.0,1.0,t,Indre By,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,2.0,2289.0,5,365.0,5.0,5.0,365.0,365.0,5.0,365.0,t,20.0,23.0,31.0,37.0,2.0,2.0,0.0,37,2.0,20.0,45780.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,f,1.0,1.0,0.0,0.0,1.06,Copenhagen,Entire Standard,Entire,Standard
17864,within a day,100%,58%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,1800.0,4,365.0,4.0,4.0,365.0,365.0,4.0,365.0,t,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0,5.0,56.0,100800.0,5.0,5.0,5.0,5.0,5.0,5.0,4.86,f,1.0,1.0,0.0,0.0,1.68,Copenhagen,Entire Standard,Entire,Standard
17865,within an hour,100%,67%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,1520.0,1,10.0,1.0,1.0,10.0,10.0,1.0,10.0,t,0.0,0.0,0.0,55.0,2.0,2.0,0.0,55,2.0,12.0,18240.0,5.0,5.0,4.5,5.0,5.0,4.0,5.0,f,1.0,1.0,0.0,0.0,2.33,Copenhagen,Entire Standard,Entire,Standard
17869,within a few hours,90%,86%,f,1.0,1.0,t,Indre By,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,2.0,1365.0,4,14.0,4.0,4.0,14.0,14.0,4.0,14.0,t,24.0,41.0,68.0,173.0,7.0,7.0,1.0,91,6.0,56.0,76440.0,4.86,4.57,4.57,5.0,4.86,4.71,4.43,f,1.0,1.0,0.0,0.0,1.74,Copenhagen,Entire Standard,Entire,Standard
17870,within an hour,100%,99%,f,47.0,49.0,t,Amager Øst,Entire Alternative,Entire home/apt,6.0,1.0,1 bath,2.0,3.0,1641.0,1,244.0,1.0,3.0,244.0,244.0,1.8,244.0,t,16.0,35.0,56.0,331.0,17.0,17.0,1.0,154,11.0,102.0,167382.0,4.82,5.0,4.88,4.76,4.76,4.76,4.76,f,38.0,38.0,0.0,0.0,3.89,Copenhagen,Entire Alternative,Entire,Alternative
17871,within an hour,100%,88%,f,1.0,2.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,1.0,1170.0,3,14.0,3.0,4.0,14.0,14.0,3.1,14.0,t,4.0,6.0,6.0,64.0,8.0,8.0,1.0,6,7.0,48.0,56160.0,4.88,4.88,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,1.13,Copenhagen,Entire Standard,Entire,Standard
17874,a few days or more,10%,4%,f,1.0,1.0,t,Nørrebro,Hotel,Private room,2.0,1.0,1 bath,1.0,1.0,439.0,1,5.0,1.0,1.0,5.0,5.0,1.0,5.0,t,8.0,22.0,47.0,137.0,3.0,3.0,0.0,137,3.0,18.0,7902.0,5.0,5.0,3.67,4.67,4.0,4.67,4.33,f,1.0,0.0,1.0,0.0,3.74,Copenhagen,Hotel,Hotel,Hotel
17875,within an hour,100%,74%,t,1.0,1.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1130.0,1,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,1.0,2.0,2.0,100.0,18.0,18.0,1.0,17,12.0,108.0,122040.0,4.78,4.94,4.78,4.94,4.94,4.89,4.94,f,1.0,1.0,0.0,0.0,1.56,Copenhagen,Entire Standard,Entire,Standard
17876,within a day,78%,44%,f,1.0,1.0,t,Indre By,Entire Luxury,Entire home/apt,6.0,1.0,1 bath,2.0,4.0,2115.0,3,30.0,3.0,4.0,30.0,30.0,3.0,30.0,t,8.0,12.0,13.0,13.0,6.0,6.0,0.0,13,4.0,36.0,76140.0,4.83,4.67,4.67,4.83,4.83,5.0,4.83,f,1.0,1.0,0.0,0.0,1.67,Copenhagen,Entire Luxury,Entire,Luxury
17878,within an hour,100%,98%,t,2.0,2.0,t,Indre By,Entire Standard,Entire home/apt,6.0,1.0,1 bath,3.0,3.0,4174.0,1,27.0,1.0,2.0,27.0,27.0,1.2,27.0,t,5.0,14.0,30.0,297.0,38.0,38.0,6.0,118,19.0,228.0,951672.0,4.95,5.0,5.0,4.89,5.0,4.89,4.82,f,1.0,1.0,0.0,0.0,0.34,Copenhagen,Entire Standard,Entire,Standard
17880,within an hour,100%,67%,f,1.0,1.0,t,Nørrebro,Entire Standard,Entire home/apt,5.0,1.5,1.5 baths,3.0,4.0,1800.0,3,365.0,1.0,3.0,365.0,365.0,3.0,365.0,t,0.0,0.0,8.0,30.0,7.0,7.0,1.0,27,2.0,42.0,75600.0,4.86,4.71,4.57,4.86,5.0,4.86,4.71,f,1.0,1.0,0.0,0.0,2.75,Copenhagen,Entire Standard,Entire,Standard
17881,within a day,100%,91%,t,1.0,1.0,t,Bispebjerg,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,2.0,1260.0,3,10.0,3.0,3.0,10.0,10.0,3.0,10.0,t,0.0,0.0,0.0,13.0,13.0,13.0,1.0,13,8.0,78.0,98280.0,5.0,4.92,5.0,5.0,5.0,4.77,4.92,f,1.0,1.0,0.0,0.0,3.34,Copenhagen,Entire Standard,Entire,Standard
17883,within an hour,100%,93%,f,1.0,1.0,t,Nørrebro,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,862.0,1,365.0,2.0,6.0,365.0,365.0,2.2,365.0,t,5.0,9.0,9.0,9.0,7.0,7.0,1.0,9,5.0,42.0,36204.0,5.0,4.86,4.57,5.0,5.0,5.0,4.71,t,1.0,1.0,0.0,0.0,2.49,Copenhagen,Entire Standard,Entire,Standard
17886,within a few hours,100%,87%,f,3.0,3.0,t,Valby,Entire Standard,Entire home/apt,5.0,1.0,1 bath,2.0,3.0,960.0,3,365.0,3.0,3.0,365.0,365.0,3.0,365.0,t,0.0,0.0,0.0,53.0,18.0,18.0,0.0,53,18.0,108.0,103680.0,4.67,4.72,4.83,4.94,4.89,4.28,4.72,f,3.0,2.0,1.0,0.0,5.25,Copenhagen,Entire Standard,Entire,Standard
17887,within an hour,100%,58%,f,1.0,1.0,f,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,4.0,2.0,2 baths,3.0,3.0,2081.0,5,30.0,5.0,5.0,30.0,30.0,5.0,30.0,t,27.0,53.0,80.0,142.0,6.0,6.0,1.0,142,4.0,60.0,124860.0,5.0,4.83,5.0,4.83,5.0,5.0,4.83,f,1.0,1.0,0.0,0.0,2.48,Copenhagen,Entire Standard,Entire,Standard
17888,within a day,100%,80%,f,1.0,1.0,t,Amager Øst,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1222.0,4,365.0,4.0,4.0,365.0,365.0,4.0,365.0,t,28.0,47.0,77.0,77.0,10.0,10.0,1.0,77,7.0,80.0,97760.0,5.0,5.0,4.8,4.9,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,2.78,Copenhagen,Entire Standard,Entire,Standard
17894,within a day,100%,36%,f,1.0,2.0,f,Valby,Entire Standard,Entire home/apt,6.0,1.0,1 bath,3.0,3.0,1500.0,3,365.0,1.0,3.0,365.0,365.0,3.0,365.0,t,4.0,5.0,8.0,98.0,11.0,11.0,0.0,8,6.0,66.0,99000.0,5.0,4.91,4.91,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,4.82,Copenhagen,Entire Standard,Entire,Standard
17895,within an hour,100%,100%,f,1.0,1.0,t,Valby,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1052.0,3,5.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,4.0,18.0,34.0,41.0,6.0,6.0,2.0,41,3.0,36.0,37872.0,4.67,5.0,4.0,5.0,5.0,4.67,4.33,t,1.0,1.0,0.0,0.0,3.42,Copenhagen,Entire Standard,Entire,Standard
17899,within a day,100%,43%,f,1.0,1.0,t,Nørrebro,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,900.0,3,365.0,2.0,3.0,365.0,365.0,3.0,365.0,t,0.0,5.0,5.0,5.0,2.0,2.0,1.0,5,0.0,12.0,10800.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,3.26,Copenhagen,Entire Standard,Entire,Standard
17903,a few days or more,20%,27%,f,1.0,1.0,t,Nørrebro,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1260.0,3,10.0,3.0,3.0,10.0,10.0,3.0,10.0,t,10.0,16.0,40.0,41.0,3.0,3.0,0.0,41,3.0,18.0,22680.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,1.35,Copenhagen,Entire Standard,Entire,Standard
17904,within a day,90%,54%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,958.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,25.0,38.0,57.0,332.0,22.0,22.0,2.0,155,20.0,132.0,126456.0,4.77,4.73,4.59,4.59,4.77,4.91,4.64,f,1.0,1.0,0.0,0.0,1.53,Copenhagen,Entire Standard,Entire,Standard
17905,within an hour,100%,100%,f,1.0,1.0,f,Indre By,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1700.0,2,365.0,2.0,3.0,365.0,365.0,2.0,365.0,t,10.0,10.0,10.0,15.0,3.0,3.0,0.0,15,2.0,18.0,30600.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,1.47,Copenhagen,Entire Standard,Entire,Standard
17909,within a few hours,100%,95%,t,2.0,2.0,t,Vanløse,Hotel,Private room,1.0,1.0,1 bath,1.0,1.0,364.0,2,365.0,2.0,2.0,365.0,365.0,2.0,365.0,t,3.0,10.0,16.0,54.0,7.0,7.0,0.0,54,6.0,42.0,15288.0,4.57,4.29,4.43,4.71,4.57,4.71,4.29,f,2.0,0.0,2.0,0.0,5.69,Copenhagen,Hotel,Hotel,Hotel
17910,a few days or more,0%,16%,f,1.0,2.0,f,Nørrebro,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1260.0,2,18.0,2.0,2.0,18.0,18.0,2.0,18.0,t,12.0,24.0,52.0,52.0,6.0,6.0,2.0,52,3.0,36.0,45360.0,5.0,5.0,5.0,4.67,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,1.81,Copenhagen,Entire Standard,Entire,Standard
17911,a few days or more,33%,18%,f,1.0,1.0,t,Amager Vest,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,1.0,630.0,6,30.0,6.0,6.0,30.0,30.0,6.0,30.0,t,0.0,1.0,4.0,86.0,3.0,3.0,0.0,4,3.0,36.0,22680.0,5.0,5.0,4.67,5.0,5.0,4.67,5.0,f,1.0,1.0,0.0,0.0,4.29,Copenhagen,Entire Standard,Entire,Standard
17913,within an hour,100%,95%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,1500.0,3,35.0,2.0,4.0,1125.0,1125.0,2.9,1125.0,t,5.0,5.0,5.0,5.0,10.0,10.0,1.0,5,5.0,60.0,90000.0,4.7,5.0,4.3,5.0,5.0,5.0,4.8,f,1.0,1.0,0.0,0.0,0.68,Copenhagen,Entire Standard,Entire,Standard
17914,within an hour,100%,100%,f,9.0,9.0,t,Amager Øst,Entire Standard,Entire home/apt,8.0,1.0,1 bath,4.0,4.0,2400.0,1,365.0,2.0,4.0,365.0,365.0,3.2,365.0,t,6.0,18.0,35.0,310.0,18.0,18.0,1.0,131,15.0,108.0,259200.0,4.11,4.5,4.28,4.22,4.5,4.44,4.33,t,9.0,9.0,0.0,0.0,3.59,Copenhagen,Entire Standard,Entire,Standard
17915,within a few hours,100%,62%,f,1.0,1.0,f,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,3.0,1160.0,3,14.0,3.0,5.0,14.0,14.0,3.0,14.0,t,3.0,7.0,7.0,185.0,4.0,4.0,0.0,7,4.0,24.0,27840.0,4.5,4.75,4.25,5.0,5.0,5.0,4.75,f,1.0,1.0,0.0,0.0,1.69,Copenhagen,Entire Standard,Entire,Standard
17916,within a day,100%,64%,f,1.0,1.0,t,Indre By,Entire Standard,Entire home/apt,5.0,1.0,1 bath,2.0,3.0,2260.0,5,62.0,5.0,5.0,62.0,62.0,5.0,62.0,t,2.0,10.0,10.0,184.0,2.0,2.0,0.0,102,2.0,20.0,45200.0,5.0,5.0,5.0,4.5,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,0.69,Copenhagen,Entire Standard,Entire,Standard
17918,within an hour,100%,70%,t,1.0,1.0,t,Frederiksberg,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,1.0,829.0,2,365.0,2.0,2.0,365.0,365.0,2.0,365.0,t,1.0,1.0,1.0,35.0,16.0,16.0,1.0,13,9.0,96.0,79584.0,5.0,4.94,4.94,5.0,5.0,4.88,4.94,f,1.0,1.0,0.0,0.0,1.62,Copenhagen,Entire Standard,Entire,Standard
17921,within a few hours,100%,94%,t,1.0,1.0,f,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,627.0,2,15.0,2.0,2.0,15.0,15.0,2.0,15.0,t,1.0,3.0,9.0,10.0,27.0,27.0,5.0,10,13.0,162.0,101574.0,4.89,4.96,4.74,4.85,4.89,4.74,4.81,f,1.0,1.0,0.0,0.0,4.29,Copenhagen,Entire Standard,Entire,Standard
17923,within an hour,100%,95%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1045.0,2,70.0,1.0,2.0,70.0,70.0,2.0,70.0,t,19.0,29.0,33.0,35.0,7.0,7.0,0.0,35,7.0,42.0,43890.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,2.49,Copenhagen,Entire Standard,Entire,Standard
17926,within a few hours,100%,79%,f,1.0,1.0,f,Frederiksberg,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,740.0,3,14.0,1.0,3.0,14.0,14.0,3.0,14.0,t,2.0,6.0,9.0,55.0,8.0,8.0,1.0,55,7.0,48.0,35520.0,4.88,4.75,4.63,4.88,4.88,4.88,4.63,f,1.0,1.0,0.0,0.0,2.38,Copenhagen,Entire Standard,Entire,Standard
17928,within a day,100%,71%,f,1.0,2.0,t,Amager Vest,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1242.0,2,365.0,2.0,3.0,365.0,365.0,2.0,365.0,t,11.0,15.0,33.0,75.0,6.0,6.0,0.0,42,3.0,36.0,44712.0,5.0,5.0,4.83,5.0,5.0,4.67,5.0,f,1.0,1.0,0.0,0.0,1.87,Copenhagen,Entire Standard,Entire,Standard
17931,within a day,67%,50%,f,1.0,1.0,t,Frederiksberg,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,1350.0,3,365.0,3.0,3.0,365.0,365.0,3.0,365.0,t,28.0,50.0,77.0,257.0,2.0,2.0,0.0,173,2.0,12.0,16200.0,4.5,5.0,5.0,4.5,5.0,5.0,4.5,f,1.0,1.0,0.0,0.0,3.02,Copenhagen,Entire Standard,Entire,Standard
17936,a few days or more,0%,54%,f,1.0,1.0,f,Amager Øst,Entire Standard,Entire home/apt,6.0,1.5,1.5 baths,3.0,6.0,2000.0,3,7.0,3.0,3.0,7.0,7.0,3.0,7.0,t,0.0,0.0,2.0,71.0,6.0,6.0,0.0,71,6.0,36.0,72000.0,4.83,4.83,5.0,5.0,5.0,4.83,5.0,f,1.0,1.0,0.0,0.0,4.22,Copenhagen,Entire Standard,Entire,Standard
17937,within an hour,99%,100%,f,251.0,716.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,1999.0,1,1125.0,1.0,2.0,2.0,1125.0,1.5,565.0,t,6.0,18.0,21.0,198.0,1.0,1.0,0.0,21,1.0,6.0,11994.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,f,247.0,247.0,0.0,0.0,1.41,Copenhagen,Entire Standard,Entire,Standard
17940,within an hour,100%,67%,f,1.0,4.0,t,Nørrebro,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1350.0,4,365.0,4.0,4.0,365.0,365.0,4.0,365.0,t,24.0,49.0,79.0,169.0,2.0,2.0,1.0,169,1.0,16.0,21600.0,4.5,4.0,3.0,5.0,5.0,4.5,3.5,f,1.0,1.0,0.0,0.0,1.64,Copenhagen,Entire Standard,Entire,Standard
17941,within a few hours,88%,80%,f,1.0,1.0,f,Østerbro,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,810.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,0.0,0.0,0.0,118.0,20.0,20.0,1.0,0,10.0,120.0,97200.0,5.0,4.9,4.85,5.0,5.0,4.95,4.8,f,1.0,1.0,0.0,0.0,3.84,Copenhagen,Entire Standard,Entire,Standard
17942,within an hour,100%,77%,f,1.0,1.0,f,Østerbro,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,900.0,2,14.0,2.0,2.0,14.0,14.0,2.0,14.0,t,3.0,3.0,3.0,90.0,14.0,14.0,2.0,8,9.0,84.0,75600.0,4.93,4.92,4.92,4.92,4.92,4.92,4.69,f,1.0,1.0,0.0,0.0,3.49,Copenhagen,Entire Standard,Entire,Standard
17944,within a day,100%,83%,f,1.0,1.0,t,Østerbro,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,1.0,879.0,1,365.0,1.0,9.0,365.0,365.0,1.2,365.0,t,4.0,14.0,14.0,14.0,2.0,2.0,0.0,14,1.0,12.0,10548.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,2.89,Copenhagen,Entire Standard,Entire,Standard
17946,within an hour,100%,100%,f,1.0,5.0,t,Nørrebro,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1427.0,2,30.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,1.0,1.0,3.0,11.0,11.0,11.0,1.0,10,7.0,66.0,94182.0,4.64,4.82,4.73,4.82,5.0,4.82,4.55,t,1.0,1.0,0.0,0.0,3.06,Copenhagen,Entire Standard,Entire,Standard
17947,a few days or more,0%,30%,f,1.0,2.0,t,Nørrebro,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,810.0,4,14.0,4.0,4.0,14.0,14.0,4.0,14.0,t,0.0,0.0,0.0,115.0,5.0,5.0,0.0,31,5.0,40.0,32400.0,4.8,4.4,4.8,5.0,5.0,4.8,5.0,f,1.0,1.0,0.0,0.0,2.54,Copenhagen,Entire Standard,Entire,Standard
17949,within an hour,100%,92%,t,7.0,9.0,t,Amager Vest,Entire Standard,Entire home/apt,6.0,1.0,1 bath,3.0,3.0,3785.0,2,365.0,2.0,2.0,365.0,365.0,2.0,365.0,t,13.0,22.0,47.0,113.0,17.0,17.0,1.0,113,9.0,102.0,386070.0,4.82,4.88,4.94,4.88,4.88,4.71,4.59,f,7.0,7.0,0.0,0.0,1.93,Copenhagen,Entire Standard,Entire,Standard
17954,within an hour,100%,100%,t,1.0,1.0,t,Valby,Hotel,Private room,1.0,1.0,1 shared bath,1.0,1.0,460.0,1,700.0,1.0,1.0,700.0,700.0,1.0,700.0,t,15.0,26.0,51.0,105.0,22.0,22.0,4.0,105,11.0,132.0,60720.0,4.86,4.95,4.82,4.91,5.0,4.77,4.86,f,1.0,0.0,1.0,0.0,4.04,Copenhagen,Hotel,Hotel,Hotel
17959,within an hour,100%,55%,f,1.0,1.0,f,Amager Øst,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,2.0,835.0,2,7.0,2.0,2.0,7.0,7.0,2.0,7.0,t,16.0,17.0,17.0,17.0,14.0,14.0,2.0,17,7.0,84.0,70140.0,4.64,4.5,4.36,4.5,4.64,4.36,4.43,f,1.0,1.0,0.0,0.0,3.63,Copenhagen,Entire Standard,Entire,Standard
17961,within a day,100%,79%,t,1.0,1.0,t,Nørrebro,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1186.0,5,30.0,5.0,5.0,30.0,30.0,5.0,30.0,t,0.0,1.0,17.0,17.0,8.0,8.0,0.0,17,6.0,80.0,94880.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,3.08,Copenhagen,Entire Standard,Entire,Standard
17962,within a day,100%,20%,f,2.0,2.0,f,Frederiksberg,Entire Standard,Entire home/apt,6.0,2.0,2 baths,3.0,4.0,1350.0,6,365.0,6.0,6.0,365.0,365.0,6.0,365.0,t,12.0,12.0,12.0,12.0,1.0,1.0,0.0,12,1.0,12.0,16200.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,f,1.0,1.0,0.0,0.0,2.61,Copenhagen,Entire Standard,Entire,Standard
17966,within an hour,100%,100%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,1.0,1269.0,3,14.0,3.0,3.0,14.0,14.0,3.0,14.0,t,26.0,33.0,51.0,141.0,2.0,2.0,1.0,141,1.0,12.0,15228.0,5.0,5.0,4.5,4.0,5.0,5.0,4.5,f,1.0,1.0,0.0,0.0,1.74,Copenhagen,Entire Standard,Entire,Standard
17968,within a day,59%,26%,f,1.0,3.0,t,Østerbro,Entire Standard,Entire home/apt,4.0,1.0,1 bath,3.0,4.0,1241.0,1,14.0,1.0,2.0,14.0,14.0,1.0,14.0,t,9.0,9.0,9.0,9.0,6.0,6.0,3.0,9,3.0,36.0,44676.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,4.02,Copenhagen,Entire Standard,Entire,Standard
17973,within a few hours,100%,91%,f,1.0,2.0,t,Frederiksberg,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,1491.0,5,49.0,5.0,5.0,49.0,49.0,5.0,49.0,t,20.0,23.0,34.0,34.0,2.0,2.0,0.0,34,2.0,20.0,29820.0,4.5,5.0,4.0,5.0,5.0,4.5,4.5,f,1.0,1.0,0.0,0.0,2.63,Copenhagen,Entire Standard,Entire,Standard
17977,within a day,100%,67%,f,1.0,1.0,t,Frederiksberg,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,990.0,5,365.0,5.0,5.0,365.0,365.0,5.0,365.0,t,3.0,4.0,4.0,4.0,2.0,2.0,0.0,4,2.0,20.0,19800.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,2.35,Copenhagen,Entire Standard,Entire,Standard
17979,within a day,50%,44%,f,1.0,2.0,t,Nørrebro,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,2.0,990.0,7,365.0,7.0,7.0,365.0,365.0,7.0,365.0,t,0.0,6.0,36.0,311.0,2.0,2.0,0.0,133,2.0,28.0,27720.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,f,1.0,1.0,0.0,0.0,3.2,Copenhagen,Entire Standard,Entire,Standard
17980,within a day,90%,86%,f,1.0,2.0,t,Amager Vest,Entire Standard,Entire home/apt,6.0,1.0,1 bath,3.0,6.0,1575.0,3,365.0,3.0,3.0,365.0,365.0,3.0,365.0,t,8.0,14.0,28.0,183.0,11.0,11.0,0.0,101,7.0,66.0,103950.0,4.73,4.82,4.0,4.91,5.0,5.0,4.82,f,1.0,1.0,0.0,0.0,1.9,Copenhagen,Entire Standard,Entire,Standard
